x,y,z,dx,dy,dz,time
-36954.46071975,-20315.76295291,854.51257361,1.480316850,-2.692914419,-0.062089499,2014-03-07T22:35:00
-36501.57727583,-21118.69979218,835.68747201,1.538848212,-2.659898538,-0.063436744,2014-03-07T22:40:00
-36031.24423210,-21911.54081277,816.46262825,1.596645391,-2.625610242,-0.064753706,2014-03-07T22:45:00
-35543.68599327,-22693.90672964,796.84721980,1.653680749,-2.590065840,-0.066039756,2014-03-07T22:50:00
-35039.13520176,-23465.42324079,776.85061124,1.709927008,-2.553282243,-0.067294277,2014-03-07T22:55:00
-34517.83262766,-24225.72120615,756.48234979,1.765357263,-2.515276953,-0.068516668,2014-03-07T23:00:00
-33980.02705482,-24974.43682410,735.75216081,1.819944995,-2.476068057,-0.069706343,2014-03-07T23:05:00
-33425.97516316,-25711.21180543,714.66994320,1.873664083,-2.435674216,-0.070862732,2014-03-07T23:10:00
-32855.94140714,-26435.69354478,693.24576462,1.926488819,-2.394114661,-0.071985280,2014-03-07T23:15:00
-32270.19789054,-27147.53528941,671.48985682,1.978393916,-2.351409178,-0.073073449,2014-03-07T23:20:00
-31669.02423758,-27846.39630515,649.41261070,2.029354525,-2.307578103,-0.074126715,2014-03-07T23:25:00
-31052.70746044,-28531.94203965,627.02457139,2.079346244,-2.262642311,-0.075144575,2014-03-07T23:30:00
-30421.54182322,-29203.84428264,604.33643327,2.128345129,-2.216623208,-0.076126538,2014-03-07T23:35:00
-29775.82870243,-29861.78132327,581.35903486,2.176327709,-2.169542717,-0.077072132,2014-03-07T23:40:00
-29115.87644406,-30505.43810430,558.10335366,2.223270994,-2.121423271,-0.077980905,2014-03-07T23:45:00
-28442.00021735,-31134.50637333,534.58050098,2.269152485,-2.072287802,-0.078852418,2014-03-07T23:50:00
-27754.52186517,-31748.68483065,510.80171657,2.313950191,-2.022159728,-0.079686252,2014-03-07T23:55:00
-27053.76975128,-32347.67927393,486.77836336,2.357642631,-1.971062945,-0.080482006,2014-03-08T00:00:00
-26340.07860443,-32931.20273954,462.52192200,2.400208854,-1.919021816,-0.081239297,2014-03-08T00:05:00
-25613.78935937,-33498.97564044,438.04398539,2.441628439,-1.866061154,-0.081957760,2014-03-08T00:10:00
-24875.24899486,-34050.72590064,413.35625322,2.481881513,-1.812206218,-0.082637048,2014-03-08T00:15:00
-24124.81036880,-34586.18908604,388.47052632,2.520948756,-1.757482694,-0.083276834,2014-03-08T00:20:00
